0.35,0.0000055,0.0000019,0.0000008,0.0000004,0.0000003,0.0000003,0.0000001,0.0000003,0.0000003
0.3525,0.0000062,0.0000033,0.0000004,0.0000003,0.0000001,0.0000001,0.0000002,0,0.000007
0.355,0.0000068,0.0000033,0.0000003,0.0000001,0.0000001,0.0000001,0.0000003,0,0.0000199
0.3575,0.0000045,0.0000028,0.0000002,0.0000002,0.0000001,0,0.0000002,0.0000001,0.0000874
0.36,0.0000022,0.0000017,0.0000003,0.0000002,0,0.0000001,0.0000002,0.0000001,0.0000748
0.3625,0.0000024,0.0000033,0.0000001,0.0000001,0,0,0.0000001,0,0.0000052
0.365,0.0000027,0.0000036,0.0000002,0.0000002,0.0000001,0.0000001,0.0000001,0,0.0000005
0.3675,0.0000034,0.0000044,0.0000003,0.0000002,0.0000001,0.0000001,0.0000002,0.0000001,0.0000006
0.37,0.0000041,0.0000029,0.0000004,0.0000003,0.0000001,0.0000002,0.0000002,0.0000001,0.0000003
0.3725,0.0000038,0.0000062,0.0000005,0.0000003,0.0000001,0.0000001,0.0000002,0,0.0000001
0.375,0.000003,0.0000054,0.0000004,0.0000002,0.0000001,0.0000001,0.0000002,0,0.0000002
0.3775,0.0000039,0.000005,0.0000005,0.0000003,0.0000001,0.0000002,0.0000002,0,0.0000003
0.38,0.0000049,0.0000074,0.0000004,0.0000004,0.0000001,0.0000002,0.0000003,0,0.0000001
0.3825,0.0000042,0.0000135,0.0000003,0.0000002,0.0000001,0.0000001,0.0000003,0,0.0000002
0.385,0.0000034,0.0000454,0.0000005,0.0000004,0.0000001,0.0000002,0.0000003,0,0.0000002
0.3875,0.0000037,0.0001731,0.0000006,0.0000005,0.0000003,0.0000003,0.0000004,0,0.0000002
0.39,0.000004,0.0006347,0.0000007,0.0000004,0.0000006,0.0000004,0.0000008,0.0000001,0.0000002
0.3925,0.000005,0.003415,0.0000005,0.0000004,0.0000211,0.0000002,0.0000023,0,0.0000002
0.395,0.000006,0.0274284,0.0000006,0.0000004,0.0000273,0.0000003,0.0000013,0,0.0000002
0.3975,0.000005,0.132903,0.0000007,0.0000005,0.0000005,0.0000004,0.0000013,0.0000001,0.0000002
0.4,0.000004,0.355988,0.0000028,0.0000004,0,0.0000003,0.000002,0.0000002,0.0000002
0.4025,0.0000036,0.59258,0.0000024,0.0000005,0.0000001,0.0000003,0.0000011,0,0.0000001
0.405,0.0000033,0.700719,0.0000017,0.0000005,0,0.0000003,0.0000016,0.0000001,0.0000002
0.4075,0.0000037,0.739625,0.000001,0.0000005,0.0000001,0.0000004,0.000001,0.0000001,0.0000002
0.41,0.0000042,0.765307,0.0000026,0.0000005,0.0000002,0.0000004,0.000001,0.0000001,0.0000004
0.4125,0.0000052,0.787842,0.0000062,0.0000004,0.0000002,0.0000004,0.0000011,0.0000002,0.0000002
0.415,0.0000063,0.817088,0.0000135,0.0000004,0.0000001,0.0000006,0.0000009,0.0000001,0.0000002
0.4175,0.0000048,0.838687,0.0000275,0.0000005,0.0000002,0.0000006,0.000002,0.0000001,0.0000002
0.42,0.0000034,0.86178,0.0000412,0.0000003,0.0000002,0.0000003,0.0000011,0.0000001,0.0000001
0.4225,0.0000061,0.883513,0.0000515,0.0000005,0.0000003,0.0000003,0.0000009,0.0000001,0.0000002
0.425,0.0000088,0.905055,0.0000701,0.0000004,0.0000003,0.0000003,0.0000007,0.0000001,0.0000002
0.4275,0.0000105,0.917072,0.0001333,0.0000004,0.0000002,0.0000003,0.000001,0.0000001,0.0000002
0.43,0.0000121,0.927208,0.0003374,0.0000003,0.0000003,0.0000003,0.0000097,0.0000001,0.0000001
0.4325,0.0000499,0.947658,0.0009579,0.0000004,0.0000004,0.0000003,0.0000509,0.0000002,0.0000002
0.435,0.0000881,0.965088,0.0022771,0.0000005,0.0000004,0.0000002,0.0000025,0.0000001,0.0000001
0.4375,0.0002723,0.979304,0.0054329,0.0000003,0.0000004,0.0000002,0.0000003,0.0000001,0.0000008
0.44,0.0004599,0.985921,0.0197821,0.0000002,0.000001,0.0000003,0.0000008,0.0000016,0.0000012
0.4425,0.0016988,0.989094,0.0818229,0.0000003,0.000005,0.0000002,0.0000239,0.0000061,0.0000001
0.445,0.0029515,0.997236,0.2452,0.0000005,0.0000032,0.0000004,0.0000026,0.0000004,0.0000002
0.4475,0.0559008,0.974613,0.503309,0.0000004,0.0000012,0.0000002,0.0000002,0.0000001,0.0000019
